sample	age	ageGroup
HU_017	41	experienced
HU_021	34	junior
HU_027	37	experienced
HU_032	38	experienced
HU_041	28	junior
HU_048	39	experienced
HU_049	50	senior
HU_050	30	junior
HU_052	51	senior
HU_059	81	senior
HU_060	55	senior
HU_066	25	junior
HU_072	47	experienced
HU_077	27	junior
HU_090	46	experienced
HU_109	32	junior
HU_110	50	senior
HU_125	58	senior
HU_126	45	experienced
HU_131	42	experienced
HU_134	48	experienced
HU_149	35	experienced
HU_150	49	experienced
HU_173	55	senior
HU_179	33	junior
HU_180	53	senior
HU_182	43	experienced
HU_202	42	experienced
HU_204	31	junior
HU_209	17.5	junior
